date,day,pillar,hook,visual,offer,status,asset,ig_code,tt_code,yt_code
2026-08-02,18,renewal,"Как продлить именно нужный ключ?","Выбор подписки → срок → оплата","Продление на 30 или 90 дней",script,planned/d18-renew-key-master.mp4,ig_d18,tt_d18,yt_d18
2026-08-03,19,management,"Несколько ключей — как не запутаться?","Карточки Обычная #1 и Антиглушилка #1 со статусами","Все подключения в одном кабинете",script,planned/d19-multiple-keys-master.mp4,ig_d19,tt_d19,yt_d19
2026-08-04,20,control,"Где посмотреть остаток 150 ГБ?","Экран трафика: использовано; осталось; дата сброса","Контроль трафика в личном кабинете",script,planned/d20-traffic-balance-master.mp4,ig_d20,tt_d20,yt_d20
2026-08-05,21,explainer,"Что будет с купленным дополнительным трафиком?","Схема базового и оплаченного трафика между циклами","Базовые 150 ГБ обновляются; остаток оплаченного переносится",script,planned/d21-traffic-carry-master.mp4,ig_d21,tt_d21,yt_d21
2026-08-06,22,trust,"Передумали после покупки?","Экран подачи запроса на возврат и выбора подписки","Запрос можно подать в течение 3 суток",script,planned/d22-refund-request-master.mp4,ig_d22,tt_d22,yt_d22
2026-08-07,23,support,"Не получилось вставить ключ?","Ошибка → кнопка Telegram-поддержки","Обратитесь в поддержку Way SPN",script,planned/d23-support-master.mp4,ig_d23,tt_d23,yt_d23
2026-08-08,24,referral,"Друг подключился — что получите вы?","Друг → покупка → реферальный баланс","35% первой и 15% повторных покупок; условия в боте",script,planned/d24-referral-master.mp4,ig_d24,tt_d24,yt_d24
2026-08-09,25,referral,"Реферальным балансом можно оплатить тариф","Тариф → оплата реферальным балансом","Используйте накопленный баланс в боте",script,planned/d25-referral-payment-master.mp4,ig_d25,tt_d25,yt_d25
2026-08-10,26,comparison,"200 или 300 ₽ — в чём разница?","Таблица: обычный / антиглушилка; трафик; устройства","Быстрый выбор подходящего варианта",script,planned/d26-200-vs-300-master.mp4,ig_d26,tt_d26,yt_d26
2026-08-11,27,value,"90 дней обычного тарифа — около 5,56 ₽ в день","Анимированный расчёт 500 ÷ 90","Расчётное значение; 90 дней за 500 ₽",script,planned/d27-price-per-day-master.mp4,ig_d27,tt_d27,yt_d27
2026-08-12,28,demo,"От открытия бота до готового ключа","Ускоренная непрерывная запись: тариф → срок → оплата → ключ","Показываем фактический путь без обещания времени",script,planned/d28-full-path-master.mp4,ig_d28,tt_d28,yt_d28
2026-08-13,29,faq,"Happ не открылся автоматически?","Скопировать ключ → открыть Happ → плюс → вставить","Сохраните ролик как инструкцию",script,planned/d29-happ-manual-master.mp4,ig_d29,tt_d29,yt_d29
2026-08-14,30,conversion,"Все тарифы Way SPN на одном экране","Четыре карточки: 200 / 500 / 300 / 800 ₽","Откройте @WaySPN_robot и выберите вариант",script,planned/d30-all-tariffs-master.mp4,ig_d30,tt_d30,yt_d30
